Header:,,,
#Digilent WaveForms Logic Analyzer Acquisition,,,
#Device Name: Discovery2,,,
#Serial Number: SN:210321A3700F,,,
#Date Time: 2022-10-28 16:30:14.816,,,
#Sample rate: 50000Hz,,,
#Samples: 1366378,,,
,,,
time, angle, A, B
9.0294,25.488281,1,0
9.0297,25.3125,0,0
9.02998,25.136719,0,1
9.03036,24.960938,1,1
9.03066,24.785156,1,0
9.03096,24.609375,0,0
9.03126,24.433594,0,1
9.03164,24.257812,1,1
9.03192,24.082031,1,0
9.03224,23.90625,0,0
9.03252,23.730469,0,1
9.0329,23.554688,1,1
9.0332,23.378906,1,0
9.0335,23.203125,0,0
9.0338,23.027344,0,1
9.03416,22.851562,1,1
9.03448,22.675781,1,0
9.03478,22.5,0,0
9.03506,22.324219,0,1
9.03544,22.148438,1,1
9.03574,21.972656,1,0
9.03604,21.796875,0,0
9.03632,21.621094,0,1
9.0367,21.445312,1,1
9.037,21.269531,1,0
9.0373,21.09375,0,0
9.03758,20.917969,0,1
9.03794,20.742188,1,1
9.03824,20.566406,1,0
9.03854,20.390625,0,0
9.03882,20.214844,0,1
9.03918,20.039062,1,1
9.03948,19.863281,1,0
9.03976,19.6875,0,0
9.04004,19.511719,0,1
9.0404,19.335938,1,1
9.0407,19.160156,1,0
9.041,18.984375,0,0
9.04128,18.808594,0,1
9.04164,18.632812,1,1
9.04192,18.457031,1,0
9.04222,18.28125,0,0
9.0425,18.105469,0,1
9.04286,17.929688,1,1
9.04316,17.753906,1,0
9.04346,17.578125,0,0
9.04374,17.402344,0,1
9.04408,17.226562,1,1
9.04438,17.050781,1,0
9.04466,16.875,0,0
9.04494,16.699219,0,1
9.0453,16.523438,1,1
9.04558,16.347656,1,0
9.04586,16.171875,0,0
9.04614,15.996094,0,1
9.0465,15.820312,1,1
9.04678,15.644531,1,0
9.04706,15.46875,0,0
9.04734,15.292969,0,1
9.04768,15.117188,1,1
9.04798,14.941406,1,0
9.04826,14.765625,0,0
9.04854,14.589844,0,1
9.04888,14.414062,1,1
9.04916,14.238281,1,0
9.04946,14.0625,0,0
9.04974,13.886719,0,1
9.05008,13.710938,1,1
9.05038,13.535156,1,0
9.05066,13.359375,0,0
9.05092,13.183594,0,1
9.05126,13.007812,1,1
9.05154,12.832031,1,0
9.05182,12.65625,0,0
9.0521,12.480469,0,1
9.05246,12.304688,1,1
9.05274,12.128906,1,0
9.05302,11.953125,0,0
9.05328,11.777344,0,1
9.05364,11.601562,1,1
9.0539,11.425781,1,0
9.05418,11.25,0,0
9.05446,11.074219,0,1
9.05482,10.898438,1,1
9.05512,10.722656,1,0
9.05538,10.546875,0,0
9.05564,10.371094,0,1
9.056,10.195312,1,1
9.05626,10.019531,1,0
9.05654,9.84375,0,0
9.05682,9.667969,0,1
9.05716,9.492188,1,1
9.05746,9.316406,1,0
9.05774,9.140625,0,0
9.058,8.964844,0,1
9.05834,8.789062,1,1
9.0586,8.613281,1,0
9.05888,8.4375,0,0
9.05916,8.261719,0,1
9.0595,8.085938,1,1
9.0598,7.910156,1,0
9.06008,7.734375,0,0
9.06034,7.558594,0,1
9.06068,7.382812,1,1
9.06096,7.207031,1,0
9.06124,7.03125,0,0
9.0615,6.855469,0,1
9.06184,6.679688,1,1
9.06212,6.503906,1,0
9.06238,6.328125,0,0
9.06264,6.152344,0,1
9.06298,5.976562,1,1
9.06326,5.800781,1,0
9.06354,5.625,0,0
9.0638,5.449219,0,1
9.06414,5.273438,1,1
9.06442,5.097656,1,0
9.0647,4.921875,0,0
9.06496,4.746094,0,1
9.0653,4.570312,1,1
9.0656,4.394531,1,0
9.06588,4.21875,0,0
9.06614,4.042969,0,1
9.06648,3.867188,1,1
9.06676,3.691406,1,0
9.06704,3.515625,0,0
9.0673,3.339844,0,1
9.06764,3.164062,1,1
9.06792,2.988281,1,0
9.06818,2.8125,0,0
9.06844,2.636719,0,1
9.06878,2.460938,1,1
9.06906,2.285156,1,0
9.06934,2.109375,0,0
9.0696,1.933594,0,1
9.06994,1.757812,1,1
9.0702,1.582031,1,0
9.07048,1.40625,0,0
9.07074,1.230469,0,1
9.07108,1.054688,1,1
9.07136,0.878906,1,0
9.07164,0.703125,0,0
9.0719,0.527344,0,1
9.07224,0.351562,1,1
9.07252,0.175781,1,0
9.07278,0,0,0
9.07306,-0.175781,0,1
9.0734,-0.351562,1,1
9.07368,-0.527344,1,0
9.07396,-0.703125,0,0
9.07422,-0.878906,0,1
9.07456,-1.054688,1,1
9.07484,-1.230469,1,0
9.07512,-1.40625,0,0
9.07538,-1.582031,0,1
9.07572,-1.757812,1,1
9.076,-1.933594,1,0
9.07628,-2.109375,0,0
9.07654,-2.285156,0,1
9.07688,-2.460938,1,1
9.07714,-2.636719,1,0
9.0774,-2.8125,0,0
9.07768,-2.988281,0,1
9.07802,-3.164062,1,1
9.0783,-3.339844,1,0
9.07858,-3.515625,0,0
9.07884,-3.691406,0,1
9.07918,-3.867188,1,1
9.07948,-4.042969,1,0
9.07974,-4.21875,0,0
9.08002,-4.394531,0,1
9.08036,-4.570312,1,1
9.08064,-4.746094,1,0
9.08092,-4.921875,0,0
9.08118,-5.097656,0,1
9.08152,-5.273438,1,1
9.0818,-5.449219,1,0
9.08208,-5.625,0,0
9.08234,-5.800781,0,1
9.08268,-5.976562,1,1
9.08294,-6.152344,1,0
9.08322,-6.328125,0,0
9.0835,-6.503906,0,1
9.08384,-6.679688,1,1
9.08412,-6.855469,1,0
9.0844,-7.03125,0,0
9.08466,-7.207031,0,1
9.085,-7.382812,1,1
9.08528,-7.558594,1,0
9.08554,-7.734375,0,0
9.08582,-7.910156,0,1
9.08616,-8.085938,1,1
9.08644,-8.261719,1,0
9.08672,-8.4375,0,0
9.08698,-8.613281,0,1
9.08732,-8.789062,1,1
9.0876,-8.964844,1,0
9.08788,-9.140625,0,0
9.08816,-9.316406,0,1
9.0885,-9.492188,1,1
9.0888,-9.667969,1,0
9.08906,-9.84375,0,0
9.08934,-10.019531,0,1
9.08968,-10.195312,1,1
9.08996,-10.371094,1,0
9.09022,-10.546875,0,0
9.0905,-10.722656,0,1
9.09084,-10.898438,1,1
9.09112,-11.074219,1,0
9.0914,-11.25,0,0
9.09166,-11.425781,0,1
9.09202,-11.601562,1,1
9.0923,-11.777344,1,0
9.09258,-11.953125,0,0
9.09286,-12.128906,0,1
9.09322,-12.304688,1,1
9.0935,-12.480469,1,0
9.09378,-12.65625,0,0
9.09408,-12.832031,0,1
9.09442,-13.007812,1,1
9.0947,-13.183594,1,0
9.09498,-13.359375,0,0
9.09526,-13.535156,0,1
9.0956,-13.710938,1,1
9.09588,-13.886719,1,0
9.09616,-14.0625,0,0
9.09644,-14.238281,0,1
9.09678,-14.414062,1,1
9.09708,-14.589844,1,0
9.09736,-14.765625,0,0
9.09764,-14.941406,0,1
9.09798,-15.117188,1,1
9.09826,-15.292969,1,0
9.09854,-15.46875,0,0
9.09882,-15.644531,0,1
9.09918,-15.820312,1,1
9.09948,-15.996094,1,0
9.09976,-16.171875,0,0
9.10004,-16.347656,0,1
9.1004,-16.523438,1,1
9.10068,-16.699219,1,0
9.10098,-16.875,0,0
9.10126,-17.050781,0,1
9.1016,-17.226562,1,1
9.1019,-17.402344,1,0
9.1022,-17.578125,0,0
9.10248,-17.753906,0,1
9.10284,-17.929688,1,1
9.10314,-18.105469,1,0
9.10342,-18.28125,0,0
9.1037,-18.457031,0,1
9.10406,-18.632812,1,1
9.10436,-18.808594,1,0
9.10466,-18.984375,0,0
9.10494,-19.160156,0,1
9.1053,-19.335938,1,1
9.1056,-19.511719,1,0
9.10588,-19.6875,0,0
9.10618,-19.863281,0,1
9.10654,-20.039062,1,1
9.10684,-20.214844,1,0
9.10714,-20.390625,0,0
9.10742,-20.566406,0,1
9.10778,-20.742188,1,1
9.10808,-20.917969,1,0
9.10838,-21.09375,0,0
9.10866,-21.269531,0,1
9.10902,-21.445312,1,1
9.10934,-21.621094,1,0
9.10962,-21.796875,0,0
9.10992,-21.972656,0,1
9.11028,-22.148438,1,1
9.11058,-22.324219,1,0
9.11088,-22.5,0,0
9.11118,-22.675781,0,1
9.11156,-22.851562,1,1
9.11186,-23.027344,1,0
9.11216,-23.203125,0,0
9.11246,-23.378906,0,1
9.11282,-23.554688,1,1
9.11314,-23.730469,1,0
9.11344,-23.90625,0,0
9.11374,-24.082031,0,1
9.1141,-24.257812,1,1
9.11442,-24.433594,1,0
9.11474,-24.609375,0,0
9.11502,-24.785156,0,1
9.1154,-24.960938,1,1
9.11572,-25.136719,1,0
9.11602,-25.3125,0,0
